Entry Date,Exit Date,Entry Price,Exit Price,Net Return %,Net Profit €,Post-Trade Equity,Protection Level
2017-08-12 00:01:00,2017-08-13 08:01:00,3666.13,3976.56,8.47,169370.97,742132.63,0
2017-08-27 08:01:00,2017-09-02 04:01:00,4335.43,4759.98,9.79,252799.29,984282.31,0
2017-10-05 12:01:00,2017-10-13 16:01:00,4321.32,5516.87,27.67,475518.66,1884516.03,0
2017-11-01 04:01:00,2017-11-06 00:01:00,6406.3,7213.03,12.59,826636.68,2688067.39,0
2017-11-21 00:01:00,2017-11-21 20:01:00,7885.84,8079.77,2.46,225726.59,2903444.92,0
2017-11-26 16:01:00,2017-11-29 16:01:00,9184.17,9465.0,3.06,304628.52,3183684.5,0
2018-03-03 20:01:00,2018-03-06 00:01:00,11460.13,11250.0,-1.83,-210997.75,2951515.25,0
2018-04-21 08:01:00,2018-04-25 08:01:00,8748.74,9162.2,4.73,482005.52,3402529.86,0
2018-05-02 08:01:00,2018-05-06 08:01:00,9160.92,9454.33,3.2,374274.37,3741077.67,0
2018-05-06 16:01:00,2018-05-07 00:01:00,9519.75,9327.2,-2.02,-272696.08,3457906.57,0
2018-05-10 08:01:00,2018-05-10 20:01:00,9345.49,9012.08,-3.57,-439032.14,3007982.02,0
2018-07-20 04:01:00,2018-07-21 00:01:00,7459.44,7276.7,-2.45,-264230.98,2732170.31,1
2018-07-23 04:01:00,2018-07-25 12:01:00,7762.73,8110.58,4.48,422758.51,3135803.62,2
2018-07-26 20:01:00,2018-07-31 08:01:00,7922.91,7974.08,0.65,64291.74,3163876.83,1
2018-08-30 00:01:00,2018-08-30 16:01:00,7027.83,6810.65,-3.09,-348850.25,2803953.01,1
2018-09-02 12:01:00,2018-09-05 08:01:00,7224.71,6990.06,-3.25,-324626.72,2456754.46,2
2019-02-18 04:01:00,2019-02-24 12:01:00,3695.05,3770.0,2.03,169251.5,2588171.94,2
2019-02-28 16:01:00,2019-03-04 08:01:00,3806.67,3706.6,-2.63,-243574.95,2319232.9,2
2019-03-05 16:01:00,2019-03-12 00:01:00,3850.52,3808.71,-1.09,-93003.47,2190513.24,2
2019-03-17 04:01:00,2019-03-25 16:01:00,3960.5,3899.94,-1.53,-121826.45,2024986.05,3
2019-03-27 04:01:00,2019-04-03 20:01:00,3988.77,4972.63,24.67,871954.92,3797219.87,3
2019-04-19 08:01:00,2019-04-25 20:01:00,5264.22,5131.0,-2.53,-344304.38,3393109.28,0
2019-05-02 04:01:00,2019-05-04 12:01:00,5340.26,5549.66,3.92,458535.12,3827892.64,0
2019-05-04 20:01:00,2019-05-06 04:01:00,5781.66,5574.28,-3.59,-488583.28,3320552.68,0
2019-05-06 12:01:00,2019-05-12 08:01:00,5674.15,7167.28,26.31,1525648.29,6382637.49,0
2019-05-26 20:01:00,2019-05-29 04:01:00,8767.17,8533.02,-2.67,-610026.67,5727932.36,0
2019-05-29 12:01:00,2019-05-30 16:01:00,8699.16,8591.99,-1.23,-259009.76,5442860.51,0
2019-06-02 20:01:00,2019-06-03 04:01:00,8747.82,8473.0,-3.14,-609899.94,4817720.56,1
2019-06-13 08:01:00,2019-06-16 16:01:00,8130.16,8931.07,9.85,1650972.39,6424851.69,2
2019-06-21 12:01:00,2019-06-24 00:01:00,9822.81,10653.83,8.46,1888922.47,8266551.5,0
2019-08-04 20:01:00,2019-08-06 08:01:00,11013.99,11793.95,7.08,2031528.58,10254680.68,0
2019-08-12 00:01:00,2019-08-13 12:01:00,11439.91,10899.37,-4.73,-1717411.44,8483432.16,0
2019-11-10 20:01:00,2019-11-11 04:01:00,9044.62,8788.7,-2.83,-857944.74,7601733.81,1
2020-01-07 04:01:00,2020-01-08 16:01:00,7885.58,7970.47,1.08,270464.37,7832289.08,2
2020-01-12 12:01:00,2020-01-19 08:01:00,8147.27,8637.75,6.02,1633866.88,9337314.8,1
2020-01-20 04:01:00,2020-01-23 08:01:00,8670.73,8375.79,-3.4,-1131265.86,8124347.43,0
2020-01-27 16:01:00,2020-02-04 08:01:00,8929.48,9179.56,2.8,779296.83,8755781.14,1
2020-02-06 20:01:00,2020-02-10 08:01:00,9770.24,9789.68,0.2,42586.65,8715625.66,0
2020-02-11 00:01:00,2020-02-15 12:01:00,9733.03,9996.75,2.71,808222.23,9423182.42,1
2020-02-18 20:01:00,2020-02-19 20:01:00,10199.79,9594.83,-5.93,-1975932.6,7407672.46,0
2020-02-23 04:01:00,2020-02-24 16:01:00,9926.79,9593.25,-3.36,-886690.12,6482092.06,2
2020-04-18 16:01:00,2020-04-20 08:01:00,7222.15,6926.13,-4.1,-943530.58,5502261.77,2
2020-04-25 12:01:00,2020-04-30 08:01:00,7502.43,8847.24,17.92,3440410.29,8875269.35,3
2020-05-27 12:01:00,2020-06-02 12:01:00,9163.09,9475.59,3.41,1040742.48,9785545.38,0
2020-06-16 04:01:00,2020-06-19 00:01:00,9498.22,9255.08,-2.56,-897278.01,8809493.73,0
2020-06-22 08:01:00,2020-06-24 08:01:00,9480.18,9323.62,-1.65,-527696.15,8226297.77,0
2020-07-23 00:01:00,2020-08-07 16:01:00,9517.2,11499.26,20.83,2989493.96,14677385.07,1
2020-08-08 12:01:00,2020-08-11 12:01:00,11765.04,11479.69,-2.43,-1276788.21,13277306.83,0
2020-08-12 16:01:00,2020-08-18 12:01:00,11583.79,11918.93,2.89,1316586.26,14403363.74,0
2020-08-20 16:01:00,2020-08-22 00:01:00,11864.79,11460.86,-3.4,-1746499.16,12586288.1,0
2020-08-24 08:01:00,2020-08-25 12:01:00,11815.7,11408.39,-3.45,-1545003.05,10984017.43,0
2020-08-29 08:01:00,2020-09-02 08:01:00,11481.21,11387.53,-0.82,-336746.76,10531938.48,2
2020-10-10 00:01:00,2020-10-28 08:01:00,11431.88,13331.73,16.62,6103895.61,16208237.4,2
2020-11-01 00:01:00,2020-11-02 08:01:00,13723.7,13397.59,-2.38,-1382058.49,14746758.54,0
2020-11-02 16:01:00,2020-11-04 04:01:00,13583.78,13577.82,-0.04,-53614.92,14615723.13,0
2020-11-13 04:01:00,2020-11-18 16:01:00,16277.87,17672.56,8.57,4352271.14,18768489.65,1
2020-11-22 08:01:00,2020-11-25 00:01:00,17858.27,18775.32,5.14,3333853.7,21957825.98,0
2020-11-29 20:01:00,2020-12-01 16:01:00,18250.72,19066.47,4.47,3388938.69,25216115.6,0
2020-12-05 04:01:00,2020-12-08 08:01:00,18952.81,18791.88,-0.85,-802364.76,24193109.83,0
2020-12-12 20:01:00,2020-12-18 12:01:00,18837.05,22557.13,19.75,16671624.12,40526030.41,0
2021-03-28 08:01:00,2021-04-03 20:01:00,55775.8,56786.25,1.81,2484528.3,42372273.74,0
2021-04-04 16:01:00,2021-04-07 08:01:00,58027.03,56223.34,-3.11,-4698771.86,37347235.37,0
2021-04-09 00:01:00,2021-04-14 16:01:00,58098.96,62026.79,6.76,8758690.13,45583064.2,0
2021-04-17 00:01:00,2021-04-17 12:01:00,62532.04,60255.52,-3.64,-5903908.28,39535569.27,0
2021-08-21 08:01:00,2021-08-24 12:01:00,48618.82,48252.6,-0.75,-1125327.68,38064305.37,0
2021-08-28 00:01:00,2021-08-30 20:01:00,49038.33,46942.73,-4.27,-5773162.56,31984725.14,1
2021-09-03 04:01:00,2021-09-07 08:01:00,49383.76,50943.76,3.16,3469138.1,35106828.97,2
2021-09-15 12:01:00,2021-09-20 00:01:00,48348.3,45472.92,-5.95,-7381306.17,27320038.93,1
2021-10-03 20:01:00,2021-10-12 16:01:00,48244.28,55269.72,14.56,13867055.01,40622935.13,3
2021-10-16 04:01:00,2021-10-21 12:01:00,61794.87,62760.0,1.56,2135296.77,42217946.87,0
2021-10-25 04:01:00,2021-10-26 20:01:00,62773.61,60325.36,-3.9,-5851595.92,36129930.44,0
2021-11-05 04:01:00,2021-11-10 20:01:00,62265.1,64872.7,4.19,5219919.51,40844030.92,1
2021-11-13 16:01:00,2021-11-15 20:01:00,64082.41,63450.24,-0.99,-1496004.55,39076413.57,0
2022-02-13 08:01:00,2022-02-17 12:01:00,42544.75,41909.57,-1.49,-2123963.42,36528471.06,0
2022-03-21 04:01:00,2022-03-31 12:01:00,41176.38,46500.0,12.93,16452757.69,52111851.15,1
2022-07-31 08:01:00,2022-08-01 16:01:00,23827.96,22959.71,-3.64,-6755498.28,45101004.79,0
2022-08-09 08:01:00,2022-08-12 08:01:00,23279.73,23689.0,1.76,2680460.79,47402617.14,0
2022-08-13 04:01:00,2022-08-15 04:01:00,24623.6,24042.0,-2.36,-4018249.73,43085730.93,0
2022-10-26 20:01:00,2022-10-28 04:01:00,20775.75,20096.0,-3.27,-5024456.86,37850153.99,1
2022-10-31 00:01:00,2022-11-07 04:01:00,20549.53,20618.0,0.33,361922.98,37562946.83,2
2022-12-15 08:01:00,2022-12-16 08:01:00,17740.72,17021.0,-4.06,-5412498.45,31992684.0,2
2023-01-10 04:01:00,2023-01-18 20:01:00,17217.2,20701.0,20.23,22590180.89,53933413.4,2
2023-01-21 16:01:00,2023-01-24 20:01:00,23324.3,22615.0,-3.04,-5853735.92,47607760.12,0
2023-01-30 00:01:00,2023-01-30 16:01:00,23731.71,22760.0,-4.09,-6922618.17,40518514.79,0
2023-01-31 08:01:00,2023-02-05 12:01:00,22893.87,23095.0,0.88,1160793.45,41154593.47,1
2023-02-08 00:01:00,2023-02-09 00:01:00,23293.27,22502.0,-3.4,-4979485.31,36002258.87,1
2023-02-16 04:01:00,2023-02-16 20:01:00,24629.6,23479.0,-4.67,-5962232.92,29914018.04,2
2023-03-30 08:01:00,2023-03-31 04:01:00,28684.66,27726.0,-3.34,-3561916.14,26236932.94,3
2023-03-31 12:01:00,2023-04-17 04:01:00,28510.48,29865.0,4.75,4307662.52,29571205.25,3
2023-05-04 00:01:00,2023-05-06 12:01:00,29150.12,28619.0,-1.82,-1947875.87,27405981.02,3
2023-05-06 20:01:00,2023-05-08 00:01:00,28937.91,28225.0,-2.46,-2420643.03,24860640.78,3
2023-06-21 16:01:00,2023-06-28 04:01:00,30155.12,30166.0,0.04,-20827.67,24448258.02,3
2023-07-04 04:01:00,2023-07-06 20:01:00,30968.94,29897.0,-3.46,-3013165.83,21246840.61,3
2023-07-11 08:01:00,2023-07-14 16:01:00,30440.41,30139.0,-0.99,-780943.4,20272550.97,3
2023-07-20 12:01:00,2023-07-24 08:01:00,29814.78,29249.0,-1.9,-1389040.84,18677743.73,3
2023-09-30 16:01:00,2023-10-03 12:01:00,27056.03,27332.0,1.02,627570.99,19154958.89,3
2023-10-16 00:01:00,2023-10-27 16:01:00,27275.25,33708.0,23.58,7885715.51,34982213.09,3
2023-10-30 04:01:00,2023-11-03 04:01:00,34249.21,34459.0,0.61,676499.14,35291399.0,2
2023-11-09 08:01:00,2023-11-14 12:01:00,36854.82,36127.0,-1.97,-2513413.2,32320962.18,2
2023-11-20 04:01:00,2023-11-21 20:01:00,37296.26,35743.0,-4.16,-4779067.41,27360897.38,3
2023-11-22 20:01:00,2023-11-27 08:01:00,37486.45,37010.0,-1.27,-1274597.78,25770281.23,3
2023-11-28 12:01:00,2023-12-11 00:01:00,37594.56,42258.0,12.4,11134306.09,36173999.85,3
2023-12-13 20:01:00,2023-12-15 12:01:00,42971.93,41874.0,-2.55,-3310814.18,32660611.27,2
2023-12-19 00:01:00,2023-12-26 08:01:00,43144.1,42667.0,-1.11,-1332686.77,30756363.8,2
2024-01-02 12:01:00,2024-01-03 08:01:00,45349.3,43592.0,-3.88,-4235964.05,26401987.75,3
2024-01-06 04:01:00,2024-01-10 08:01:00,43733.69,45554.0,4.16,3790773.88,29906300.06,3
2024-02-05 12:01:00,2024-02-23 20:01:00,42660.62,50752.0,18.97,19790203.66,48482307.94,3
2024-02-26 20:01:00,2024-03-05 16:01:00,54645.59,61895.0,13.27,11204697.7,79943622.9,0
2024-03-09 08:01:00,2024-03-14 12:01:00,68552.48,71004.0,3.58,9838185.38,88746538.37,0
2024-03-25 08:01:00,2024-03-27 12:01:00,66877.81,69005.0,3.18,9693326.31,97849700.2,0
2024-03-28 00:01:00,2024-04-01 12:01:00,69311.24,68320.0,-1.43,-5103312.69,91616223.47,0
2024-04-02 00:01:00,2024-04-02 12:01:00,66823.76,65021.0,-2.7,-8843004.04,82484628.33,0
2024-04-04 20:01:00,2024-04-09 12:01:00,68518.45,69281.0,1.11,3039716.7,84542777.96,1
2024-04-10 00:01:00,2024-04-12 16:01:00,69163.09,66815.0,-3.4,-10223365.2,73668433.37,0
2024-05-17 16:01:00,2024-05-21 16:01:00,67023.96,69237.0,3.3,8358818.37,81253733.19,1
2024-05-22 08:01:00,2024-05-23 12:01:00,69731.66,68036.0,-2.43,-7086085.92,73797942.78,1
2024-05-24 00:01:00,2024-05-28 00:01:00,67910.84,67939.0,0.04,-47883.06,72975181.32,1
2024-06-03 12:01:00,2024-06-07 16:01:00,69753.68,69179.0,-0.82,-2257535.9,69925864.7,2
2024-06-09 20:01:00,2024-06-11 04:01:00,69717.65,67471.0,-3.22,-8033596.52,61549631.44,2
2024-07-18 08:01:00,2024-07-23 16:01:00,64833.77,65532.0,1.08,2190763.8,62921785.14,3
2024-07-26 00:01:00,2024-07-29 16:01:00,67134.07,67270.0,0.2,313778.17,62618929.81,2
2024-08-25 00:01:00,2024-08-27 12:01:00,64190.13,61568.0,-4.08,-9084302.46,53074378.22,2
2024-09-19 04:01:00,2024-09-30 08:01:00,62152.09,63813.0,2.67,4852675.81,56571003.67,3
2024-10-11 16:01:00,2024-10-23 04:01:00,63120.06,66798.0,5.83,11418377.49,66504392.31,3
2024-10-25 08:01:00,2024-10-31 12:01:00,68177.11,70507.0,3.42,7814886.75,73318387.95,2
2024-11-05 16:01:00,2024-11-13 16:01:00,69044.98,90002.0,30.35,38867726.57,143152606.69,2
2024-11-21 04:01:00,2024-11-24 12:01:00,97160.06,95863.0,-1.33,-6989303.08,134860614.89,0
2024-11-24 20:01:00,2024-11-25 16:01:00,98159.06,94696.0,-3.53,-16935840.87,117405560.65,0
2024-11-28 00:01:00,2024-12-02 08:01:00,95727.63,95072.0,-0.68,-3060910.95,113029707.42,1
2024-12-05 12:01:00,2024-12-05 20:01:00,101614.51,97086.0,-4.46,-17867695.84,94845528.4,2
2024-12-14 04:01:00,2024-12-18 16:01:00,101937.84,102752.0,0.8,2452139.76,96202202.31,3
2024-12-24 16:01:00,2024-12-26 08:01:00,97713.62,95533.0,-2.23,-7716128.04,87947341.94,2
2025-01-04 12:01:00,2025-01-07 12:01:00,97777.68,97725.0,-0.05,-350532.29,86858051.98,2
2025-01-16 12:01:00,2025-01-19 20:01:00,99312.21,100930.0,1.63,4769782.53,90837426.24,2
2025-04-22 12:01:00,2025-05-04 20:01:00,91190.1,94263.0,3.37,10522799.93,98816778.23,2
2025-05-07 00:01:00,2025-05-19 04:01:00,96623.53,103262.0,6.87,23554542.22,119639036.53,2
2025-05-20 04:01:00,2025-05-23 20:01:00,105188.08,107252.0,1.96,7964875.48,126431449.45,1
2025-05-24 04:01:00,2025-05-29 16:01:00,107756.65,105970.0,-1.66,-7602502.76,117103157.41,0
2025-06-08 20:01:00,2025-06-12 16:01:00,105859.75,106797.0,0.89,3382852.72,119297413.08,1
2025-06-16 08:01:00,2025-06-17 12:01:00,106982.88,104251.0,-2.55,-10912699.03,107841910.82,1
2025-06-20 08:01:00,2025-06-20 16:01:00,106116.01,103396.0,-2.56,-9901339.56,97638613.91,1
2025-06-25 20:01:00,2025-07-15 00:01:00,107525.42,117093.0,8.9,30202458.07,123706076.68,2
